"","ori","abb"
"1","ACTA OECOLOGICA","Acta oecol."
"2","ADVANCES IN AGRONOMY","Adv. agron."
"3","ADVANCES IN ECOLOGICAL RESEARCH/ADVANCES IN ECOLOGICAL RESEARCH","Adv. ecol. res. ecol. res."
"4","AGRICULTURAL AND FOREST ENTOMOLOGY","Agric. for. entomol."
"5","AGRICULTURAL SYSTEMS","Agric. syst."
"6","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","Agric. ecosyst. environ."
"7","AGRITROP (CIRAD)","Agritrop"
"8","AGRONOMY","Agronomy"
"9","AGRONOMY FOR SUSTAINABLE DEVELOPMENT","Agron. sustain. dev."
"10","AMBIO","Ambio"
"11","AMERICAN JOURNAL OF BOTANY","Am. j. bot."
"12","ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS","An. da acad. bras. cienc."
"13","ANIMAL BEHAVIOUR","Anim. behav."
"14","ANIMAL CONSERVATION","Anim. conserv."
"15","ANNALS OF BOTANY","Ann. bot."
"16","ANNALS OF THE NEW YORK ACADEMY OF SCIENCES","Ann. N. Y. acad. sci."
"17","ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS","Annu. rev. ecol. syst."
"18","ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS","Annu. rev. ecol. evol. syst."
"19","ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES","Annu. rev. environ. resour."
"20","ANNUAL REVIEW OF NUTRITION","Annu. rev. nutr."
"21","ANNUAL REVIEW OF PHYTOPATHOLOGY","Annu. rev. phytopathol."
"22","ANNUAL REVIEW OF PUBLIC HEALTH","Annu. rev. public health"
"23","ANTHROPOCENE","Anthropocene"
"24","ANU PRESS EBOOKS","Anu press ebooks"
"25","APPLIED ANIMAL BEHAVIOUR SCIENCE","Appl. anim. behav. sci."
"26","APPLIED SOIL ECOLOGY","Appl. soil ecol."
"27","APPLIED VEGETATION SCIENCE","Appl. veg. sci."
"28","AQUATIC CONSERVATION MARINE AND FRESHWATER ECOSYSTEMS","Aquat. conserv. mar. freshw. ecosyst."
