Project,DOI,Title,Year,Relation
Acoucene,10.1111/eth.12211,A Potential Metric of the Attractiveness of Bird Song to Humans,2014,Proposal
Acoucene,10.1098/rspb.2021.0037,The phantom chorus: birdsong boosts human well-being in protected areas,2020,Proposal
Acoucene,10.1038/s41467-021-26488-1,Bird population declines and species turnover are changing the acoustic properties of spring soundscapes,2021,Proposal
Acoucene,10.1126/science.abd5777,Singing in a silent spring: Birds respond to a half-century soundscape reversion during the COVID-19 shutdown,2020,Proposal
Acoucene,10.1038/424267a,Ecology: birds sing at a higher pitch in urban noise - Great tits hit the high notes to ensure that their mating calls are heard above the city’s din.,2003,Proposal
Acoucene,10.1111/gcb.12862,Vocal traits and diet explain avian sensitivities to anthropogenic noise,2015,Proposal
Acoucene,10.1371/journal.pone.0027052,Noise Pollution Filters Bird Communities Based on Vocal Frequency,2011,Proposal
Acoucene,10.2307/3071944,Expansion Vs. Compression of Bird Altitudinal Ranges on a Mediterranean Island,2002,Proposal
Acoucene,,Suivi des oiseaux communs en France 1989-2019 :30 ans de suivis participatifs,2021,Proposal
Acoucene,10.1111/2041-210X.12624,warbleR: Streamline Bioacoustic Analysis,2016,Proposal
Acoucene,10.1007/978-1-4939-8850-1,Multivariate Analysis of Ecological Data with ade4,2018,Proposal
Acoucene,10.3410/f.726037481.793514550,The global spectrum of plant form and function,2016,Proposal
Acoucene,10.1111/j.1461-0248.2010.01493.x,"Spatial mismatch and congruence between taxonomic, phylogenetic and functional diversity: the need for integrative conservation strategies in a changing world",2010,Proposal
Acoucene,10.1371/journal.pone.0004065,Rapid Acoustic Survey for Biodiversity Appraisal,2008,Proposal
Acoucene,10.1007/s12304-015-9248-x,Ecoacoustics: the Ecological Investigation and Interpretation of Environmental Sound,2015,Proposal
Acoucene,10.1002/9781119230724.ch18,Ecoacoustics: The Ecological Role of Sounds,2017,Proposal
Acoucene,10.1111/ddi.13176,Climate overrides the effects of land use on the functional composition and diversity of Mediterranean reptile assemblages,2021,Proposal
Acoucene,,"FD-package: measuring functional diversity from multiple traits, and other tools for functional ecology",2014,Proposal
Acoucene,10.3389/fevo.2021.612356,Land Use Changes Threaten Bird Taxonomic and Functional Diversity Across the Mediterranean Basin: A Spatial Analysis to Prioritize Monitoring for Conservation,2021,Proposal
Acoucene,10.34080/os.v31.22463,"European Breeding Bird Atlas 2: Distribution, Abundance and Change",2020,Proposal
Acoucene,,FRAGSTATS: Spatial Pattern Analysis Program for Categorical Maps,2002,Proposal
Acoucene,10.1111/j.2006.0906-7590.04621.x,Importance of spatial autocorrelation in modeling bird distributions at a continental scale,2006,Proposal
Acoucene,10.1111/j.1461-0248.2008.01271.x,Graph models of habitat mosaics,2009,Proposal
Acoucene,10.1890/07-1861.1,"Using Circuit Theory to Model Connectivity in Ecology, Evolution, and Conservation",2008,Proposal
Acoucene,10.21105/jcon.00058,Circuitscape in Julia: High Performance Connectivity Modelling to Support Conservation Decisions,2020,Proposal
