Project,DOI,Title,Year,Relation
Dragon,,Controversy over the decline of arthropods: a matter of temporal baseline?,2022,Proposal
Dragon,10.5897/IJBC2013.0600,Using odonates as markers of the environmental health of water and its land related ecotone,2013,Proposal
Dragon,,Strong changes in Dutch dragonfly fauna,2020,Proposal
Dragon,,"Odonata as indicators of pollution, habitat quality, and landscape disturbance",2022,Proposal
Dragon,,Spatial variation in the impact of dragonflies and debris on recreational ecosystem services in a floodplain wetland,2015,Proposal
Dragon,,Valuing dragonflies as service providers,2008,Proposal
Dragon,10.1111/icad.12099,Landscape ecological networks are successful in supporting a diverse dragonfly assemblage,2014,Proposal
Dragon,,Balancing state and volunteer investment in biodiversity monitoring for the implementation of CBD indicators: A French example,2010,Proposal
Dragon,10.1111/ddi.1327,Winners and losers over 35 years of dragonfly and damselfly distributional change in Germany,2021,Proposal
Dragon,,The IPBES Conceptual Framework—Connecting nature and people,2015,Proposal
Dragon,,A conceptual framework for understanding the perspectives on the causes of the science–practice gap in ecology and conservation,2018,Proposal
Dragon,,Navigating the space between research and implementation in conservation,2017,Proposal
Dragon,,Effective Biodiversity Monitoring Needs a Culture of Integration,2020,Proposal
Dragon,10.3897/arphapreprints.e84517,Europa Biodiversity Observation Network: User and Policy Needs Assessment,2022,Proposal
Dragon,,Assessing Butterflies in Europe ‐ Butterfly Indicators 1990‐2018 Technical report. Butterfly Conservation Europe,2020,Proposal
Dragon,10.1093/biosci/biaa092,Towards Global Volunteer Monitoring of Odonate Abundance,2020,Proposal
Dragon,,Tools to support butterfly monitoring and analysis. Technical report,2020,Proposal
Dragon,,Controversy over the decline of arthropods: a matter of temporal baseline?,2022,Top5
Dragon,,Do amateurs and citizen science fill the gaps left by scientists?,2021,Top5
Dragon,,Long‐term effects of global change on occupancy and flight period of wild bees in Belgium,2020,Top5
Dragon,,Urbanization and agricultural intensification destabilize animal communities differently than diversity loss,2020,Top5
Dragon,,Phenological shifts alter the seasonal structure of pollinator assemblages in Europe,2020,Top5
Dragon,10.1111/ele.13774,Combining range and phenology shifts oﬀers a winning strategy for boreal Lepidoptera,2021,Top5
Dragon,10.1111/oik.07953,Rewiring of interactions in a changing environment: nettle‐feeding butterflies and their parasitoids,2021,Top5
Dragon,,Effects of Natura 2000 on nontarget bird and butterfly species based on citizen science data,2020,Top5
Dragon,,Data Integration for Large‐Scale Models of Species Distributions,2020,Top5
Dragon,,Species range expansion constrains the ecological niches of resident butterflies,2017,Top5
Dragon,,Artificial light at night disrupts species interactions and changes insect communities,2021,Top5
Dragon,,Towards global volunteer monitoring of odonate abundance,2020,Top5
Dragon,,Strong changes in Dutch dragonfly fauna,2020,Top5
Dragon,,Experimental light at night has a negative long‐term impact on macro‐moth populations,2020,Top5
Dragon,,Distribution trends of European dragonflies under climate change,2019,Top5
Dragon,,Calculating population reductions of invertebrate species for IUCN Red List assessments,2021,Top5
Dragon,,Alarming decline of freshwater trigger species in western Mediterranean key biodiversity areas,2021,Top5
Dragon,10.3390/d13110532,"Diversity, status and phenology of the dragonflies and damselflies of Cyprus",2021,Top5
