Project,DOI,Title,Year,Relation
Funbiodiv,10.1016/j.jmva.2013.03.013,Supervised component generalized linear regression using a PLS-extension of the Fisher scoring algorithm,2013,Proposal
Funbiodiv,10.1111/j.1365-2664.2011.02056.x,The new diversity: management gains through insights into the functional diversity of communities,2011,Proposal
Funbiodiv,10.1016/j.biocontrol.2019.104148,Key carabid species drive spring weed seed predation of Viola arvensis,2020,Proposal
Funbiodiv,10.3389/fevo.2021.588292,The Poisson-Lognormal Model as a Versatile Framework for the Joint Analysis of Species Abundances,2021,Proposal
Funbiodiv,10.1016/bs.agron.2022.11.002,Agroecological crop protection for sustainable agriculture,2022,Proposal
Funbiodiv,10.1016/j.agee.2021.107810,Farming intensity indirectly reduces crop yield through negative effects on agrobiodiversity and key ecological functions,2022,Proposal
Funbiodiv,10.1126/sciadv.aax0121,A global synthesis reveals biodiversity-mediated benefits for crop production,2019,Proposal
Funbiodiv,10.1126/science.aat3466,Increase in crop losses to insect pests in a warming climate,2018,Proposal
Funbiodiv,10.1002/ecy.2378,Functional diversity positively affects prey suppression by invertebrate predators: a metaâ€analysis,2018,Proposal
Funbiodiv,10.1890/13-0179.1,Effects of predator richness on prey suppression: a metaâ€analysis,2013,Proposal
Funbiodiv,10.1371/journal.pone.0185809,More than 75 percent decline over 27 years in total flying insect biomass in protected areas,2017,Proposal
Funbiodiv,10.1002/ecy.2977,Analyzing snapshot diversity patterns with the Neutral Theory can show functional groupsâ€™ effects on community assembly,2020,Proposal
Funbiodiv,10.1146/annurev.ecolsys.110308.120320,Effects of Natural Enemy Biodiversity on the Suppression of Arthropod Herbivores in Terrestrial Ecosystems,2009,Proposal
Funbiodiv,10.1111/1365-2664.14357,Carabid beetles have humpâ€shaped responses to disturbance and resource gradients within agricultural landscapes,2023,Proposal
Funbiodiv,10.1038/s41598-021-91095-5,Multi-community effects of organic and conventional farming practices in vineyards,2021,Proposal
Funbiodiv,10.1111/ele.12757,How to make more out of community data? A conceptual framework and its implementation as models and software,2017,Proposal
Funbiodiv,10.1016/j.meegid.2014.01.022,Pathogen population dynamics in agricultural landscapes: The Ddal modelling framework,2014,Proposal
Funbiodiv,10.1016/bs.aecr.2020.09.001,Landscape-scale expansion of agroecology to enhance natural pest control: A systematic review,2020,Proposal
Funbiodiv,10.1016/j.agee.2022.108263,Building capacities for the design of agroecological landscapes: The added-value of Landscape Monitoring Networks,2023,Proposal
Funbiodiv,10.1016/j.agee.2022.108263,Building capacities for the design of agroecological landscapes: The added-value of Landscape Monitoring Networks,2006,Proposal
Funbiodiv,10.1098/rspb.2018.2898,Local pesticide use intensity conditions landscape effects on biological pest control,2019,Proposal
Funbiodiv,10.1073/pnas.221657312,Farmland practices are driving bird population decline across Europe,2023,Proposal
Funbiodiv,10.2307/1942161,Organization of a Plantâ€Arthropod Association in Simple and Diverse Habitats: The Fauna of Collards (Brassica Oleracea),1973,Proposal
Funbiodiv,10.1016/j.agee.2016.01.039,Agricultural landscape simplification reduces natural pest control: A quantitative synthesis,2015,Proposal
Funbiodiv,10.1016/j.tree.2015.06.007,Time will tell: resource continuity bolsters ecosystem services,2015,Proposal
Funbiodiv,,Effects of predator functional diversity on grassland ecosystem function,2009,Proposal
Funbiodiv,10.1016/j.scitotenv.2021.150156,Using crop diversity to lower pesticide use: Socio-ecological approaches,2022,Proposal
Funbiodiv,10.1016/bs.aecr.2021.10.004,Promoting crop pest control by plant diversification in agricultural landscapes: A conceptual framework for analysing feedback loops between agro-ecological and socio-economic effects,2022,Proposal
Funbiodiv,10.17180/q7wm-q442,ProtÃ©ger les cultures en augmentant la diversitÃ© vÃ©gÃ©tale des espaces agricoles. Rapport de lâ€™expertise scientifique collective,2023,Proposal
Funbiodiv,10.1038/s41477-020-0654-y,Global synthesis of effects of plant species diversity on trophic groups and interactions,2020,Proposal
Funbiodiv,10.1038/35021046,Genetic diversity and disease control in rice,2000,Proposal
Funbiodiv,10.1016/bs.agron.2022.11.002,Agroecological crop protection for sustainable agriculture,2023,Top5
Funbiodiv,10.1111/1365-2664.14357,Carabid beetles have humpâ€shaped responses to disturbance and resource gradients within agricultural landscapes,2023,Top5
Funbiodiv,,Increasing crop heterogeneity enhances multitrophic diversity across agricultural regions,2019,Top5
Funbiodiv,10.1016/j.agee.2022.108318,Diverse agricultural landscapes increase bat activity and diversity: Implications for biological pest control,2023,Top5
Funbiodiv,10.1016/bs.aecr.2021.10.004,Chapter Four - Promoting crop pest control by plant diversification in agricultural landscapes: A conceptual framework for analysing feedback loops between agro-ecological and socio-economic effects,2022,Top5
Funbiodiv,,"Biodiversity conservation, ecosystem services and organic viticulture: a glass half-full",2023,Top5
Funbiodiv,10.1111/1365-2664.13885,Organic management and landscape heterogeneity combine to sustain multifunctional bird communities in European vineyards,2021,Top5
Funbiodiv,,The shape of the predator biomass distribution affects biological pest control services in agricultural landscapes,2021,Top5
Funbiodiv,10.1038/s41893-018-0102-4,Evidence that organic farming promotes pest control,2018,Top5
Funbiodiv,10.1073/pnas.1800042115,Crop pests and predators exhibit inconsistent responses to surrounding landscape composition,2018,Top5
Funbiodiv,,Ecological performance underlying ecosystem multifunctionality is promoted by organic farming and hedgerows at the local scale but not at the landscape scale,2023,Top5
Funbiodiv,,"Weed communities are more diverse, but not more abundant, in dense and complex bocage landscapes",2023,Top5
Funbiodiv,,On the restoration of hedgerow ground vegetation: local and landscape drivers of plant diversity and weed colonization,2022,Top5
Funbiodiv,10.1007/s10980-021-01248-0,Agroecology landscapes,2021,Top5
Funbiodiv,,Configurational crop heterogeneity increases within-field plant diversity,2020,Top5
Funbiodiv,10.1016/j.agee.2023.108370,Landscape-scale management for biodiversity and ecosystem services,2023,Top5
