Project,DOI,Title,Year,Relation
Impacts,,Addressing context dependence in ecology,2022,Proposal
Impacts,,Refocusing multiple stressor research around the targets and scales of ecological impacts,2021,Proposal
Impacts,,Extinction filters mediate the global effects of habitat fragmentation on animals,2019,Proposal
Impacts,,Landscape-scale forest loss as a catalyst of population and biodiversity change,2020,Proposal
Impacts,,Historic and prehistoric human-driven extinctions have reshaped global mammal diversity patterns,2015,Proposal
Impacts,,Spatial variation in determinants of agricultural land abandonment in Europe,2018,Proposal
Impacts,,Sixteen years of change in the global terrestrial human footprint and implications for biodiversity conservation,2016,Proposal
Impacts,,Rapid Anthropocene realignment of allometric scaling rules,2021,Proposal
Impacts,,Limited filling of the potential range in European tree species,2004,Proposal
Impacts,,Data Integration for Large-Scale Models of Species Distributions,2020,Proposal
Impacts,,Towards a taxonomy of spatial scale-dependence,2015,Proposal
Impacts,,Increasing crop heterogeneity enhances multitrophic diversity across agricultural regions,2019,Proposal
Impacts,,The IPBES Conceptual Framework - connecting nature and people,2015,Proposal
Impacts,,Impacts of climate warming on terrestrial ectotherms across latitude,2008,Proposal
Impacts,,Vertebrate responses to human land use are influenced by their proximity to climatic tolerance limits,2021,Proposal
Impacts,,Climate–land-use interactions shape tropical mountain biodiversity and ecosystem functions,2019,Proposal
Impacts,,Less favourable climates constrain demographic strategies in plants,2017,Proposal
Impacts,,Central-marginal population dynamics in species invasions,2014,Proposal
Impacts,,Effect of multiple stressors and population decline of frogs,2021,Proposal
Impacts,,Rethinking climate context dependencies in biological terms,2020,Proposal
Impacts,,Causal inference in coupled human and natural systems,2019,Proposal
Impacts,,Siland a R package for estimating the spatial influence of landscape,2021,Proposal
Impacts,,Global patterns and drivers of tree diversity integrated across a continuum of spatial grains,2019,Proposal
Impacts,,Ecological Non-equilibrium in the Anthropocene,2019,Proposal
Impacts,,Disequilibrium vegetation dynamics under future climate change,2013,Proposal
Impacts,,Extinction debt and colonization credit delay range shifts of eastern North American trees,2017,Proposal
Impacts,,Mismatches between birds' spatial and temporal dynamics reflect their delayed response to global changes,2021,Proposal
Impacts,,Anthropogenic ecosystem disturbance and the recovery debt,2017,Proposal
Impacts,,Large carnivore expansion in Europe is associated with human population density and land cover changes,2021,Proposal
Impacts,,Delayed biodiversity change: no time to waste,2015,Proposal
Impacts,,Empirical Predictability of Community Responses to Climate Change,2018,Proposal
Impacts,,Widespread losses of pollinating insects in Britain,2019,Proposal
Impacts,,Temporal changes in bird functional diversity across the United States,2017,Proposal
Impacts,,Equilibrium in plant functional trait responses to warming is stronger under higher climate variability during the Holocene,2020,Proposal
Impacts,10.1111/ele.12736,Predictability in community dynamics,2017,Proposal
Impacts,,Short-term climate-induced change in French plant communities,2019,Proposal
Impacts,,Balancing conservation priorities for nature and for people in Europe,2021,Top5
Impacts,,On the interpretations of joint modelling in community ecology,2021,Top5
Impacts,,Evolutionary assembly of flowering plants into sky islands,2021,Top5
Impacts,,Protecting biodiversity (in all its complexity): new models and methods,2020,Top5
Impacts,,Uncertainty in ensembles of global biodiversity scenarios,2019,Top5
Impacts,,"sPlotOpen – An environmentally-balanced, open-access, global dataset of vegetation plots",2021,Top5
Impacts,,Root traits explain plant species distributions along climatic gradients yet challenge the nature of ecological trade-offs,2021,Top5
Impacts,,"To advance sustainable stewardship, we must document not only biodiversity but geodiversity",2019,Top5
Impacts,,Global trait-environment relationships of plant communities,2018,Top5
Impacts,,Monitoring plant functional diversity from space,2016,Top5
Impacts,,The commonness of rarity: Global and future distribution of rarity across land plants,2019,Top5
Impacts,,Land-use history impacts functional diversity across multiple trophic groups,2019,Top5
Impacts,,Open Science principles for accelerating trait-based science across the Tree of Life,2019,Top5
Impacts,,Increasing crop heterogeneity enhances multitrophic diversity across agricultural regions,2019,Top5
Impacts,,Functional rarity: the ecology of outliers,2017,Top5
Impacts,,New indices for rapid assessment of pollination services based on crop yield data : France as a case study,2019,Top5
Impacts,,Short-term climate-induced change in French plant communities,2019,Top5
Impacts,,Citizen science involving farmers as a means to document temporal trends in farmland biodiversity and relate them to agricultural practices,2020,Top5
Impacts,,"European plants lagging behind climate change pay a climatic debt in the North, but are favored in the South",2021,Top5
Impacts,10.1007/s10980-021-01353-0,Landscape floral resources provided by rapeseed correlate with next-year reproduction of cavity-nesting pollinators in a national participatory monitoring program,2021,Top5
Impacts,,Analysis of complex trophic networks reveals the signature of land-use intensification on soil communities in agroecosystems,2021,Top5
Impacts,,Cascading effects of moth outbreaks on subarctic soil food webs,2021,Top5
Impacts,,Intraspecific body size variability in soil organisms at a European scale: implications for functional biogeography,2018,Top5
Impacts,,Urban and industrial land uses have a higher soil biological quality than expected from physicochemical quality,2017,Top5
Impacts,,Handbook of protocols for standardized measurement of terrestrial invertebrate functional traits,2017,Top5
Impacts,,Land use change and biodiversity: challenges for assembling evidence on the greatest threat to nature,2021,Top5
Impacts,,Tansley review: Determinants of geographic range size in plants,2020,Top5
Impacts,,The role of land use and land cover change in climate change vulnerability assessments of biodiversity: a systematic review,2021,Top5
Impacts,,Future vulnerability mapping based on response to extreme climate events: dieback thresholds in an endemic California oak,2018,Top5
Impacts,,Best practices for reporting climate data in ecology,2018,Top5
Impacts,,New indices for rapid assessment of pollination services based on crop yield data : France as a case study,2019,Top5
Impacts,,Short-term climate-induced change in French plant communities,2019,Top5
Impacts,,Urbanization effects on biodiversity revealed by a two-scale analysis of species functional uniqueness vs. redundancy,2020,Top5
Impacts,,"European plants lagging behind climate change pay a climatic debt in the North, but are favored in the South",2021,Top5
Impacts,,Winners and losers over 35 years of dragonfly and damselfly distributional change in Germany,2021,Top5
Impacts,,Geographic variation in the population trends of common breeding birds across central Europe,2021,Top5
Impacts,,Widespread decline in Central European plant diversity across six decades,2021,Top5
Impacts,,"A global analysis shows declining terrestrial insect numbers, but increases in the freshwater realm",2020,Top5
Impacts,,The geography of the Anthropocene differs between the land and the sea,2020,Top5
Impacts,,Mismatches between birds’ spatial and temporal dynamics reflect their delayed response to global changes,2021,Top5
Impacts,,Equilibrium in plant functional trait responses to warming is stronger under higher climate variability during the Holocene,2020,Top5
Impacts,,Empirical Predictability of Community Responses to Climate Change,2018,Top5
Impacts,,Where do they go ? The effects of topography and habitat diversity on reducing climatic debt in birds,2017,Top5
Impacts,,Rapid adjustment of bird community compositions to local climatic variations and its functional consequences,2015,Top5
Impacts,10.1016/j.gecco.2021.e01724,Assessing the effects of urbanization and forest fragmentation on tropical soil biodiversity using e-DNA,2021,Top5
Impacts,10.1038/s41598-021-94227-z,Cascading effects of insect outbreaks on soil food webs,2021,Top5
Impacts,10.1016/bs.aecr.2020.01.001,Advances and prospects of eDNA in the Neotropical rainforests,2020,Top5
Impacts,10.1016/j.cell.2019.10.008,Global trends of marine plankton diversity across kingdoms of life,2019,Top5
Impacts,10.1093/oso/9780198767220.001.0001,Environmental DNA for biodiversity research and monitoring,2018,Top5
Impacts,10.1111/ddi.12629,funrar: An R package to characterize functional rarity,2017,Top5
Impacts,10.1016/j.biocon.2018.08.011,Functional rarity of coral reef fishes at the global scale: Hotspots and challenges for conservation,2018,Top5
Impacts,10.1111/2041-210X.12918,ecolottery: simulating and assessing community assembly with environmental filtering and neutral dynamics in R,2017,Top5
Impacts,10.1038/s41467-020-18779-w,Global distribution and conservation status of ecologically rare mammal and bird species,2020,Top5
Impacts,10.1111/geb.12910,Functional biogeography of dietary strategies in birds,2019,Top5
Impacts,,Rapid Anthropocene realignment of allometric scaling rules,2021,Top5
Impacts,,Assessing the reliability of species distribution projections in climate change research,2021,Top5
Impacts,,Random population fluctuations bias the Living Planet Index,2021,Top5
Impacts,10.1111/ele.13830,Global Impacts of Climate Change on Avian Functional Diversity,2021,Top5
Impacts,10.1111/ecog.05191,Mechanistic insights into the role of large carnivores for ecosystem structure and functioning,2020,Top5
Impacts,10.1111/geb.70086,Bridging macroecology and temporal dynamics to better attribute global change impacts on biodiversity,2025,Output
Impacts,10.1016/j.biocon.2024.110911,Putting earthworm conservation on the map: Shortfalls and solutions for developing earthworm conservation,2025,Output
Impacts,10.1111/1365-2745.70159,Recent vegetation shifts in the French Alps with winners outnumbering losers,2025,Output
Impacts,10.1111/2041-210X.70131,Advancing causal inference in ecology: Pathways for biodiversity change detection and attribution,2025,Output
