Project,DOI,Title,Year,Relation
Landworm,10.1016/j.biocon.2024.110911,Putting earthworm conservation on the map: Shortfalls and solutions for developing earthworm conservation,2025,Output
Landworm,10.1016/j.apsoil.2025.106329,Reliability of earthworm data from citizen science: Lessons from 7 years of a French national monitoring protocol,2025,Output
Landworm,10.1016/j.ejsobi.2023.103589,Management of grassland: A necessary tool to maintain plant and earthworm diversity,2024,Output
Landworm,10.1007/s11252-025-01826-z,Urban earthworm communities driven more by climate and elevation than urbanisation intensity,2025,Output
Landworm,,The Accuracy of Citizen Science Data: A Quantitative Review,2017,Proposal
Landworm,,"Altitudinal gradient affect abundance, diversity and metabolic footprint of soil nematodes in Banihal-Pass of Pir-Panjal mountain range",2021,Proposal
Landworm,10.1002/ece3.6459,"A real-world implementation of a nationwide, long-term monitoring program to assess the impact of agrochemicals and agricultural practices on biodiversity",2021,Proposal
Landworm,,Comparison of two widely used sampling methods in assessing earthworm community responses to agricultural intensification,2017,Proposal
Landworm,10.1038/nature13855,Belowground biodiversity and ecosystem functioning,2014,Proposal
Landworm,10.1111/j.1365-2664.2005.01005.x,The effects of organic agriculture on biodiversity and abundance: a meta-analysis,2005,Proposal
Landworm,10.1111/ele.12427,Biodiversity in cities needs space: a meta-analysis of factors determining intra-urban biodiversity variation,2015,Proposal
Landworm,10.1111/1365-2664.13746,Citizen science involving farmers as a means to document temporal trends in farmland biodiversity and relate them to agricultural practices,2021,Proposal
Landworm,10.1016/j.biocon.2013.07.037,Statistical solutions for error and bias in global citizen science datasets,2014,Proposal
Landworm,10.1897/IEAM-2009-064.1,Indicators for monitoring soil biodiversity,2009,Proposal
Landworm,,A review of earthworm impact on soil function and ecosystem services: Earthworm impact on ecosystem services,2013,Proposal
Landworm,10.1111/1365-2435.13194,Intraspecific body size variability in soil organisms at a European scale: Implications for functional biogeography,2018,Proposal
Landworm,,Conventional tillage decreases the abundance and biomass of earthworms and alters their community structure in a global meta-analysis,2017,Proposal
