Project,DOI,Title,Year,Relation
Desybel,10.1186/s13750-021-00250-y,Estimating ecotoxicological effects of chemicals on tropical reef-building corals; a systematic review protocol,2021,Top5
Desybel,10.1186/s13750-021-00236-w,Existing evidence on the outcomes of wildlife translocations in protected areas: a systematic map,2021,Top5
Desybel,10.1186/s13750-021-00237-9,Evidence on the impacts of chemicals arising from human activity on tropical reef-building corals; a systematic map,2021,Top5
Desybel,10.1186/s13750-020-00202-y,Evidence of the impact of noise pollution on biodiversity: a systematic map,2020,Top5
Desybel,10.1186/s13750-020-00203-x,What evidence exists on the impacts of chemicals arising from human activity on tropical reef-building corals? A systematic map protocol.,2020,Top5
Desybel,10.1186/s13750-020-00199-4,Outcomes of wildlife translocations in protected areas: what is the type and extent of existing evidence? A systematic map protocol,2020,Top5
Desybel,10.1186/s13750-020-00196-7,Can linear transportation infrastructure verges constitute a habitat and/or a corridor for vertebrates in temperate ecosystems? A systematic review.,2020,Top5
Desybel,,Les protocoles expérimentaux en écologie. Principaux points clefs,2019,Top5
Desybel,10.1186/s13750-019-0146-6,Evidence of the environmental impact of noise pollution on biodiversity: a systematic map protocol.,2019,Top5
Desybel,10.1186/s13750-018-0117-3,Can linear transportation infrastructure verges constitute a habitat and/or a corridor for insects in temperate landscapes? A systematic review,2018,Top5
Desybel,,Conseils méthodologiques pour la réalisation d'une revue systématique à travers l'expérience de COHNECS-IT,2017,Top5
Desybel,10.1186/s13750-016-0056-9,Can linear transportation infrastructure verges constitute a habitat and/or a corridor for biodiversity in temperate landscapes? A systematic review protocol,2016,Top5
Desybel,10.1098/rsos.172059,The comparative evidence for urban species sorting by anthropogenic noise,2018,Proposal
Desybel,10.1038/s41559-020-1135-4,Why conservation biology can benefit from sensory ecology.,2020,Proposal
Desybel,10.1111/1365-2664.13880,A meta-analysis of the influence of anthropogenic noise on terrestrial wildlife communication strategies.,2021,Proposal
Desybel,10.3389/fevo.2022.827440,"Influence of Anthropogenic Sounds on Insect, Anuran and Bird Acoustic Signals: A Meta-Analysis",2022,Proposal
Desybel,10.3389/fevo.2021.765950,A Systematic Review of Research Investigating the Combined Ecological Impact of Anthropogenic Noise and Artificial Light at Night,2021,Proposal
Desybel,10.1016/j.anbehav.2016.02.021,"Great tits, Parus major, increase vigilance time and reduce feeding effort during peaks of aircraft noise.",2016,Proposal
Desybel,10.1071/WR17059,Disturbance affects biotic community composition at desert wind farms,2018,Proposal
Desybel,10.1098/rsbl.2019.0649,The effects of anthropogenic noise on animals: a meta-analysis,2019,Proposal
Desybel,,Effects of military noise on wildlife: a literature review,1996,Proposal
Desybel,10.1016/j.applanim.2017.08.008,"The effects of mining machinery noise of different frequencies on the behaviour, faecal corticosterone and tissue morphology of wild mice (Mus musculus),",2017,Proposal
Desybel,10.1016/j.gecco.2018.e00484,Noise pollution alters matrix permeability for dispersing anurans: Differential effects among land covers.,2018,Proposal
Desybel,10.1007/s00267-003-3024-4,"A review of the effects of aircraft noise on wildlife and humans, current control mechanisms, and the need for further study",2003,Proposal
Desybel,10.1186/s13750-020-00202-y,Evidence of the impact of noise pollution on biodiversity: a systematic map,2020,Proposal
Desybel,10.1650/CONDOR-17-56.1,Male Greater Prairie-Chickens adjust their vocalizations in the presence of wind turbine noise.,2018,Proposal
Desybel,10.1186/s13750-025-00368-3,What is the evidence for the impacts of airborne anthropogenic noise on wildlife? A systematic map update,2025,Output
Desybel,,Impacts of airborne anthropogenic noise on species diversity: a systematic review and meta-analysis,2026,Output
