Project,DOI,Title,Year,Relation
Spatman,,Designing optimal human-modified landscapes for forest biodiversity conservation,2020,Proposal
Spatman,10.1126/science.aau1397,Space for nature,2018,Proposal
Spatman,,Mechanisms explaining the impact of economic inequality on environmental deterioration,2015,Proposal
Spatman,,Economic geography: The integration of regions and nations,2008,Proposal
Spatman,,"The haves, the havenots, and the health of everyone: the relationship between social inequality and environmental quality",2015,Proposal
Spatman,,"Local Food, Urbanization, and Transport Related Greenhouse Gas Emissions",2017,Proposal
Spatman,,Europe’s other debt crisis caused by the long legacy of future extinctions,2013,Proposal
Spatman,,Natural experiments in the social sciences: a design-based approach,2012,Proposal
Spatman,10.1016/j.cosust.2013.07.010,A conceptual framework for analysing and measuring land-use intensity,2013,Proposal
Spatman,,WorldClim 2: new 1km spatial resolution climate surfaces for global land areas,2017,Proposal
Spatman,,Are compact cities environmentally friendly?,2012,Proposal
Spatman,,Reevaluating Europe’s other debt with improved statistical tools,2015,Proposal
Spatman,,Relationships between human activity and biodiversity in Europe at the national scale: Spatial density of human activity as a core driver of biodiversity erosion,2018,Proposal
Spatman,,On the time lag between human activity and biodiversity in Europe at the national scale,2021,Proposal
Spatman,,"Effects of exurban development on biodiversity: patterns, mechanisms, and research needs",2005,Proposal
Spatman,,Why geodiversity matters in valuing nature's stage,2015,Proposal
Spatman,,A Cross National Analysis of How Economic Inequality Predicts Biodiversity Loss,2009,Proposal
Spatman,,The global diversity of birds in space and time,2012,Proposal
Spatman,,"PanTHERIA: a species level database of life history, ecology, and geography of extant and recently extinct mammals",2009,Proposal
Spatman,,"The DPSIR Framework, workshop on a comprehensive/detailed assessment of the vulnerability of water resources to environmental change in Africa using river basin approach",2004,Proposal
Spatman,,"Urban socioeconomic inequality and biodiversity often converge, but not always: A global meta-analysis",2020,Proposal
Spatman,,Environmental performance of the urban form,2016,Proposal
Spatman,,A review of the relationships between human population density and biodiversity,2007,Proposal
Spatman,,Economic inequality predicts biodiversity loss,2007,Proposal
Spatman,,Growth is the problem; equality is the solution,2013,Proposal
Spatman,,Global effects of land use on local terrestrial biodiversity,2015,Proposal
Spatman,,Threatened species and the spatial concentration of humans,2007,Proposal
Spatman,,Scenarios for Global Biodiversity in the 21st Century,2010,Proposal
Spatman,,The ecological and evolutionary consequences of systemic racism in urban environments,2020,Proposal
Spatman,10.1016/j.ecolind.2012.04.012,"Multiscale performance of landscape metrics as indicators of species richness of plants, insects and vertebrates",2012,Proposal
Spatman,,Increasing crop heterogeneity enhances multitrophic diversity across agricultural regions,2019,Proposal
Spatman,,The Biological Deserts Fallacy: Cities in Their Landscapes Contribute More than We Think to Regional Biodiversity,2021,Proposal
Spatman,,Using an updated time calibrated family level phylogeny of seed plants to test for non random patterns of life forms across the phylogeny,2014,Proposal
Spatman,,lavaan: An R Package for Structural Equation Modeling,2012,Proposal
Spatman,10.12942/lrlr-2011-3,"Landscape structure, landscape metrics and biodiversity",2011,Proposal
Spatman,,Rescaling the human footprint: a tool for conservation planning at an ecoregional scale,2008,Proposal
Spatman,,Expert based Ecosystem Services capacity matrices: dealing with variability of scoring,2017,Top5
