Project,DOI,Title,Year,Relation
Carapat,,"La biodiversité des prairies permanentes : nouveau contexte, nouvelles approches",2011,Proposal
Carapat,,Quels intérêts de la diversité floristique des prairies permanentes pour les ruminants et les produits animaux ?,2008,Proposal
Carapat,,Soil-surface nutrient distributions in grazed pastures of North Carolina,2019,Proposal
Carapat,,"Les prairies, une richesse et un support d’innovation pour des élevages de ruminants plus durables et acceptables",2020,Proposal
Carapat,,Adaptive multi-paddock grazing enhances soil carbon and nitrogen stocks and stabilization through mineral association in southeastern US grazing lands,2021,Proposal
Carapat,,"Grazing management impacts on vegetation, soil biota and soil chemical, physical and hydrological properties in tall grass prairie",2011,Proposal
Carapat,,"Agriculture et biodiversité : les services écosystémiques, une voie de réconciliation ?",2019,Proposal
Carapat,,Grazing intensity significantly affects belowground carbon and nitrogen cycling in grassland ecosystems: A meta-analysis,2017,Proposal
Carapat,,"Grassland management affects vegetation structure, bats and their beetle prey.",2020,Proposal
Carapat,,"Carabid assemblages in agricultural landscapes : impacts of habitat features, landscape context at different spatial scales and farming intensity",2005,Proposal
Carapat,,Responses of grassland specialist and generalist beetles to management and landscape complexity,2007,Proposal
Carapat,,Consequences for biodiversity of reducing inputs to upland temperate pastures : effects on beetles (Coleoptera) of cessation of nitrogen fertilizer application and reductions in stocking rates of sheep,2004,Proposal
Carapat,,"The response of epigeal beetles (Col. : Carabidae, STaphylinidae) to varied grazing regimes on upland Nardus stricta grasslands",1997,Proposal
Carapat,,Reconsidering the role of « semi-natural habitat » in agricultural landscape biodiversity : a case study,2015,Proposal
Carapat,,Agroecosystem diversity : Reconciling contemporary agriculture and environmental quality,2019,Proposal
Carapat,,Factors and processes affecting plant biodiversity in permanent grasslands. A review,2012,Proposal
Carapat,,Evaluation des sources d’espèces et des déterminants de la diversité végétale des parcelles agricoles.,2010,Proposal
Carapat,,Beetle species (Coleoptera) in hayfields and pastures in northern Iceland,2005,Proposal
Carapat,,Land-use history impacts functional diversity accross multiple trophic groups,2020,Proposal
Carapat,,Impact of farming systems on agricultural landscapes and biodiversity : from plot to farm and landscape scales.,2019,Proposal
Carapat,,"Les prairies, une richesse et un support d’innovation pour des élevages de ruminants plus durables et acceptables",2020,Proposal
Carapat,,"Biodiversity in intensive grasslands : effect of management, improvement and challenges",2005,Proposal
Carapat,,Grazing impact on ground beetles (Coleoptera : Carabidae) abundance and diversity on semi-natural grassland,2022,Proposal
Carapat,,Ground beetles (Coleoptera : Carabidae) in grasslands : model for assessment of the species diversity and ecosystem condition in Bulgaria.,2018,Proposal
Carapat,,Grazing management of calcareous grasslands and its implications for the conservation of beetle communities,2005,Proposal
Comepi,,The Podrome of French vegetation: a national synsystem for phytosociological knowledge and management issues,2013,Proposal
Comepi,,"A quantitative index of land-use intensity in grasslands: Integrating mowing, grazing and fertilization",2012,Proposal
Comepi,,"Biodiversity increases multitrophic energy use efficiency, flow and storage in grasslands",2020,Proposal
Comepi,,Réflexion prospective interdisciplinaire Approches Prédictives pour la Biologie et l’Écologie,2019,Proposal
Comepi,,Functional diversity in root and above-ground traits in a fertile grassland shows a detrimental effect on productivity,2013,Proposal
Comepi,,Mechanisms of maintenance of species diversity,2000,Proposal
Comepi,,Functional leaf attributes predict litter decomposition rate in herbaceous plants.,1997,Proposal
Comepi,,Challenges in the development and use of ecological indicators,2001,Proposal
Comepi,,Adaptive management plans rooted in quantitative ecological predictions of ecosystem processes: putting monitoring data to practical use,2022,Proposal
Comepi,12. 609-619. 10.1016/j.baae.2011.08.006,Effects of grazing exclusion on the spatial variability of subalpine plant communities: A multiscale approach,2011,Proposal
Comepi,,Leaf traits capture the effects of land use changes and climate on litter decomposability of grasslands across Europe,2009,Proposal
Comepi,,Plant trait-digestibility relationships across management and climate gradients in permanent grasslands,2014,Proposal
Comepi,,Plant functional markers capture ecosystem properties during secondary succession,2004,Proposal
Comepi,,The ‘filtering’ metaphor revisited: competition and environment jointly structure invasibility and coexistence.,2018,Proposal
Comepi,,Rethinking Community Assembly through the Lens of Coexistence Theory,2012,Proposal
Comepi,,A neutral theory with environmental stochasticity explains static and dynamic properties of ecological communities,2015,Proposal
Comepi,,Plant functional classifications: from general groups to specific groups based on response to disturbance.,1997,Proposal
Comepi,,"État de conservation des habitats agropastoraux d’intérêt communautaire, Méthode d’évaluation à l’échelle du site. Guide d’application",2015,Proposal
Comepi,,Topography as a driver of local terrestrial vascular plant diversity patterns,2013,Proposal
Comepi,,REVIEW: Predictive ecology in a changing world.,2015,Proposal
Comepi,,From the neutral theory to a comprehensive and multiscale theory of ecological equivalence,2016,Proposal
Comepi,,A Conceptual Framework for Selecting Environmental Indicator Sets,2008,Proposal
Comepi,,Different sets of traits explain abundance and distribution patterns of European plants at different spatial scales.,2021,Proposal
Comepi,,Forage nutritive value shows synergies with plant diversity in a wide range of semi-natural grassland habitats,2023,Proposal
Comepi,,Functional diversity of grassland communities for pollinators,2021,Proposal
Comepi,,How hydrological and landscape features shape the distribution of adult Odonata communities in man-made aquatic ecosystems,2022,Top5
Comepi,,Delineating the influence of water conditions and landscape on plant communities in eutrophic ditch networks,2021,Top5
Comepi,,Mapping grassland plant communities using a fuzzy approach to address floristic and spectral uncertainty,2018,Top5
Comepi,,Grazing intensity modulates carbohydrate storage pattern in five grass species from temperate grasslands,2019,Top5
Comepi,,High Stocking Density Controls Phillyrea Angustifolia in Mediterranean Grasslands,2017,Top5
Elan,,Did you say reference conditions? Ecological and socio-economic perspectives on the European Water Framework Directive,2015,Proposal
Elan,,Identifying choremes in mental maps to better understand socio-spatial representations,2016,Proposal
Elan,,"Tick Bite Risk as a Socio-Spatial Representation—An Exploratory Study in Massif Central, France",2019,Proposal
Elan,10.1016/j.tree.2018.07.004,What Conservation Does,2018,Proposal
Elan,,« Naturalité » : concepts et méthodes appliqués à la conservation de la nature,2018,Proposal
Elan,,"La gouvernance d'une ONG de conservation de la nature : perspective stratégique, Politiques et management public",2012,Proposal
Elan,,A global strategy for road building,2014,Proposal
Elan,,Deliberative monetary valuation: In search of a democratic and value plural approach to environmental policy,2013,Proposal
Elan,,Mapping ecological distribution conflicts: The EJAtlas,2021,Proposal
Elan,,A global environmental justice movement: mapping ecological distribution conflicts,2020,Proposal
Elan,,Changing social metabolism and environmental conflicts in India and South America,2016,Proposal
Elan,,Comprendre les conflits environnementaux : le cas de l’eau en Espagne,2016,Proposal
Elan,,Biodiversity Offsets and Infrastructure: Biodiversity Offsets and Infrastructure,2011,Proposal
Elan,,Environmental conflicts and defenders :A global overview,2020,Proposal
Elan,,The Anthropocene: conceptual and historical perspectives,2011,Proposal
Elan,,Can linear transportation infrastructure verges constitute a habitat and/or a corridor for insects in temperate landscapes? A systematic review,2018,Proposal
Elan,,Bending the curve of biodiversity loss,2020,Proposal
Elan,,Deliberative Ecological Economics for Sustainability Governance,2010,Proposal
Elan,,The nature of economic costs of biological invasions,2022,Top5
Elan,,Analysing economic costs of invasive alien species with the INVACOST R package,2022,Top5
Elan,,Quand jouer la carte des sites naturels de compensation dans un territoire ?,2022,Top5
Elan,,Biodiversity offsets and payments for environmental services: Clarifying the family ties,2020,Top5
Elan,,High and rising economic costs of biological invasions worldwide,2021,Top5
Fragshifts,,Why are species’ traits weak predictors of range shifts?,2021,Proposal
Fragshifts,,Changes in plant community composition lag behind climate warming in lowland forests,2011,Proposal
Fragshifts,,Ecological constraints increase the climatic debt in forests,2016,Proposal
Fragshifts,,Geographically weighted elastic net logistic regression,2018,Proposal
Fragshifts,10.6084/m9.figshare.7413365.v1,BioShifts: a global geodatabase of climate-induced species redistribution over land and sea,2020,Proposal
Fragshifts,,Human disturbance and upward expansion of plants in a warming climate,2017,Proposal
Fragshifts,,Red-listed plants are contracting their elevational range faster than common plants in the European Alps,2023,Proposal
Fragshifts,,GWmodel: an R package for exploring spatial heterogeneity using geographically weighted models,2015,Proposal
Fragshifts,,Rapid upwards spread of non-native plants in mountains across continents,2023,Proposal
Fragshifts,,A significant upward shift in plant species optimum elevation during the 20th century,2008,Proposal
Fragshifts,,Species better track climate warming in the oceans than on land,2020,Proposal
Fragshifts,,Mountain roads shift native and non-native plant species' ranges,2017,Proposal
Fragshifts,,A general framework for analyzing sustainability of social-ecological systems,2009,Proposal
Fragshifts,,The climatic debt is growing in the understorey of temperate forests: Stand characteristics matter,2021,Proposal
Fragshifts,,Do empirical observations support commonly-held climate change range shift hypotheses? A systematic review protocol,2020,Proposal
Fragshifts,,Detecting climate change induced range shifts: Where and how should we be looking?,2006,Proposal
Fragshifts,,Rapid upwards spread of non-native plants in mountains across continents,2023,Top5
Fragshifts,,"Phenological and elevational shifts of plants, animals and fungi under climate change in the European Alps",2021,Top5
Fragshifts,,Historical continuity and spatial connectivity ensure hedgerows are effective corridors for forest plants: Evidence from the species–time–area relationship,2021,Top5
Fragshifts,,Species better track climate warming in the oceans than on land,2020,Top5
Fragshifts,,Global buffering of temperatures under forest canopies,2019,Top5
Fragshifts,,The color of environmental noise in river networks: examining natural vs global change drivers across the United States,2023,Top5
Fragshifts,,Scale of population synchrony confirms macroecological estimates of minimum viable range size,2023,Top5
Fragshifts,,Climate change and the global redistribution of biodiversity: substantial variation in empirical support for expected range shifts,2023,Top5
Fragshifts,,Unifying climate change biology across realms and taxa,2022,Top5
Fragshifts,,Multi-scale threat assessment of riverine ecosystems in the Colorado River Basin,2022,Top5
Fragshifts,10.1111/nph.20344,Climate change drives plant diversity attrition at the summit of Mount Kenya,2025,Output
Fragshifts,10.1111/gcb.17271,Bringing traits back into the equation: A roadmap to understand species redistribution,2024,Output
Funindic,,Functional rarity and evenness are key facets of biodiversity to boost multifunctionality,2021,Proposal
Funindic,,Global assessment of nitrogen deposition effects on terrestrial plant diversity: a synthesis,2020,Proposal
Funindic,,The effects of air-borne nitrogen pollutants on species diversity in natural and semi-natural European vegetation,1998,Proposal
Funindic,,Plant community structure and nitrogen inputs modulate the climate signal on leaf traits,2017,Proposal
Funindic,,Realistic losses of rare species disproportionately impact higher trophic levels,2012,Proposal
Funindic,,Introducing the biogeographic species pool,2013,Proposal
Funindic,,"Species Responses to Nitrogen Fertilization in Herbaceous Plant Communities, and Associated Species Traits",2008,Proposal
Funindic,,Generalist plants are more competitive and more functionally similar to each other than specialist plants: insights from network analyses,2020,Proposal
Funindic,,Living with uncertainty: from the precautionary principle to the methodology of ongoing normative assessment,2005,Proposal
Funindic,,"Global analysis of nitrogen and phosphorus limitation of primary producers in freshwater, marine and terrestrial ecosystems",2007,Proposal
Funindic,,Reactive nitrogen and the world: 200 Years of change,2002,Proposal
Funindic,,"Transformation of the Nitrogen Cycle: Recent Trends, Questions, and Potential Solutions",2008,Proposal
Funindic,,"Benefits of plant diversity to ecosystems: immediate, filter and founder effects",1998,Proposal
Funindic,,Eutrophication weakens stabilizing effects of diversity in natural grasslands,2014,Proposal
Funindic,,Effects of biodiversity on ecosystem functioning: a consensus of current knowledge,2005,Proposal
Funindic,,"Impacts of nitrogen addition on plant biodiversity in mountain grasslands depend on dose, application duration and climate: a systematic review",2016,Proposal
Funindic,,Predicting changes in community composition and ecosystem functioning from plant traits: revisiting the Holy Grail,2002,Proposal
Funindic,,"Managing the risk of uncertain threshold responses: comparison of robust, optimum, and precautionary approaches",2007,Proposal
Funindic,,Rare Species and Ecosystem Functioning,2005,Proposal
Funindic,,"Multiple facets of diversity effects on plant productivity: Species richness, functional diversity, species identity and intraspecific competition",2020,Proposal
Funindic,,Community-wide scan identifies fish species associated with coral reef services across the Indo-Pacific,2018,Proposal
Funindic,10.1038/s41559-017-0461-7,Redefining ecosystem multifunctionality,2018,Proposal
Funindic,,Loss of Rare Fish Species from Tropical Floodplain Food Webs Affects Community Structure and Ecosystem Multifunctionality in a Mesocosm Experiment,2014,Proposal
Funindic,,Atmospheric nitrogen deposition in world biodiversity hotspots: the need for a greater global perspective in assessing N deposition impacts,2006,Proposal
Funindic,,The Precautionary Principle in EC Health and Environmental Law,2006,Proposal
Funindic,,Extinction and Ecosystem Function in the Marine Benthos,2004,Proposal
Funindic,,Impact of Nitrogen Deposition on the Species Richness of Grasslands,2004,Proposal
Funindic,,Nitrogen deposition threatens species richness of grasslands across Europe,2010,Proposal
Funindic,,Anthropogenic nitrogen deposition predicts local grassland primary production worldwide,2015,Proposal
Funindic,,Functional- and abundance-based mechanisms explain diversity loss due to N fertilization,2005,Proposal
Funindic,,Forecasting agriculturally driven global environmental change,2001,Proposal
Funindic,,Vegetation ecology meets ecosystem science: permanent grasslands as a functional biogeography case study,2015,Proposal
Funindic,,Human Alteration of the Global Nitrogen Cycle: Sources and Consequences,1997,Proposal
Funindic,,Plant ecological strategies: Some leading dimensions of variation between species,2002,Proposal
Funindic,,Quantifying large-scale ecosystem stability with remote sensing data,2020,Proposal
Funindic,,Global distribution and conservation status of ecologically rare mammal and bird species,2020,Top5
Funindic,,Functional rarity: the ecology of outliers,2017,Top5
Funindic,,funrar: an R package to characterize functional rarity,2017,Top5
Funindic,,Testing theories for the latitudinal diversity gradient in functional trait space,2014,Top5
Funindic,,The emergence and promise of functional biogeography,2014,Top5
Funindic,,Trade-offs and synergies between ecosystem productivity and stability in temperate grasslands,2023,Output
Funindic,,Plant community impact on productivity: Trait diversity or key(stone) species effects?,2022,Output
Funindic,,Beyond trait distances: Functional distinctiveness captures the outcome of plant competition,2023,Output
Indicators,,Temporal changes in the Swiss flora: implications for flower-visiting insects,2022,Proposal
Indicators,10.1016/j.isci.2023.106362 ,Opposing effects of plant traits on diversification,2023,Proposal
Indicators,,Agriculture intensification reduces plant taxonomic and functional diversity across European arable systems,2020,Proposal
Indicators,,How does urbanization affect the reproductive characteristics and ecological affinities of street plant communities?,2019,Proposal
Indicators,,Plant mating systems in a changing world,2010,Proposal
Indicators,,Plant Functional Traits: Soil and Ecosystem Services,2017,Proposal
Indicators,,Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape,2007,Proposal
Indicators,10.1111/ele.14170,"Trait-dependent diversification in angiosperms: Patterns, models and data",2023,Proposal
Indicators,,Why Are There So Many Flowering Plants? A Multiscale Analysis of Plant Diversification,2020,Proposal
Indicators,,Functional trait space and the latitudinal diversity gradient,2014,Proposal
Indicators,,Plant functional classifications: from general groups to specific groups based on response to disturbance,1997,Proposal
Indicators,,Functional rarity and evenness are key facets of biodiversity to boost multifunctionality,2021,Proposal
Indicators,,Investigating the effect of habitat amount and landscape heterogeneity on the gamma functional diversity of grassland and hedgerow plants,2022,Proposal
Indicators,,Extant timetrees are consistent with a myriad of diversification histories,2020,Proposal
Indicators,,The dimensionality and structure of species trait spaces,2021,Proposal
Indicators,10.1111/j.1469-185X.2012.00224.x,Ecophylogenetics: advances and perspectives,2012,Proposal
Indicators,,CSR ecological strategies and plant mating systems: outcrossing increases with competitiveness but stress-tolerance is related to mixed mating,2016,Proposal
Indicators,,Competitive ability depends on mating system and ploidy level across Capsella species,2022,Proposal
Indicators,,Competitive ability of Capsella species with different mating systems and ploidy levels,2018,Proposal
Indicators,,Sex-specific responses to climate change in plants alter population sex ratio and performance,2016,Proposal
Indicators,,Multiple plant diversity components drive consumer communities across ecosystems,2019,Proposal
Indicators,,Constructing a broadly inclusive seed plant phylogeny,2018,Proposal
Indicators,,Ecosystem effects of biodiversity manipulations in European grasslands,2005,Proposal
Indicators,,Flowering plants under global pollinator decline,2013,Proposal
Indicators,,Additive effects of connectivity provided by different habitat types drive plant assembly,2019,Proposal
Indicators,,The Evolutionary Legacy of Diversification Predicts Ecosystem Function,2016,Proposal
Indicators,,Diversity and determinants of recombination landscapes in flowering plants,2022,Top5
Indicators,,Genome Evolution in Outcrossing vs. Selfing vs. Asexual Species,2019,Top5
Indicators,,Pervasive hybridizations in the history of wheat relatives,2019,Top5
Indicators,,The evolutionary interplay between adaptation and self-fertilization,2017,Top5
Indicators,,Genetic Diversity and the Efficacy of Purifying Selection across Plant and Animal Species,2017,Top5
Indicators,,On the rarity of dioecy in flowering plants,2017,Top5
Indicators,,"A derived ZW chromosome system in Amborella trichopoda, representing the sister lineage to all other extant flowering plants",2022,Top5
Indicators,,Detecting sex-linked genes using genotyped individuals sampled in natural populations,2021,Top5
Indicators,10.1371/journal.pbio.3001718,How sex chromosomes get trapped into non-recombination,2022,Top5
Indicators,,"Pulled Diversification Rates, Lineages-Through-Time Plots and Modern Macroevolutionary Modelling",2022,Top5
Interface,,A software tool dedicated to the modelling of landscape networks,2012,Proposal
Interface,,Selecting surrogate species for connectivity conservation,2018,Proposal
Interface,,The multilayer nature of ecological networks,2017,Proposal
Interface,,Connectivity for conservation: a framework to classify network measures,2011,Proposal
Interface,,A multi-species approach for assessing the impact of land-cover changes on landscape connectivity,2017,Proposal
Interface,,"Making graph theory operational for landscape ecological assessments, planning, and design",2010,Proposal
Interface,10.1007/s10980-020-01164-9,Comparison of landscape graph modelling methods for analysing pond network connectivity,2021,Top5
Interface,10.1016/j.biocon.2020.108713,Combining spatial modeling tools and biological data for improved multispecies assessment in restoration areas,2020,Top5
Interface,10.1007/s10980-020-00998-7,Coupling landscape graph modelling and biological data: A review,2020,Top5
Interface,10.4000/cybergeo.32333,Apports de la modélisation spatiale pour la gestion de la trame verte et bleue,2019,Top5
Interface,10.1016/j.jnc.2014.07.001,Integrating regional-scale connectivity in habitat restoration: An application for amphibian conservation in eastern France,2015,Top5
Interface,,Acoustic enrichment in wildlife passages under railways improves their use by amphibians,2020,Top5
Interface,,Recent Asian origin of chytrid fungi causing global amphibian declines,2018,Top5
